Cell line name	Before/After	Organism	Origin tissue	Cell type	Disease	Ethnicity	Age patient at time of tumour (years)	Gender
CACO2	Cell line name	Homo sapiens	Colon	Epithelial adherent cells	Colorectal adenocarcinoma	Caucasian	72	Male
CACO2_AURKA	Cell line constructs\Gene silencing	Homo sapiens	Colon	Epithelial adherent cells	Colorectal adenocarcinoma	Caucasian	72	Male
COLO205	Cell line name	Homo sapiens	Colon	Round & refractile	Colorectal adenocarcinoma	Caucasian	70	Male
COLO320	Cell line name	Homo sapiens	Colon	Round & refractile	Colorectal adenocarcinoma	Caucasian	55	Female
HCT15	Cell line name	Homo sapiens	Colon	Epithelial-like cells	Colorectal adenocarcinoma			Male
HCT116	Cell line name	Homo sapiens	Colon	Epithelial-like cells	Colorectal carcinoma	Caucasian		Male
HCT116_MLH1	Cell line constructs\Ectopic gene expression	Homo sapiens	Colon	Epithelial-like cells	Colorectal carcinoma	Caucasian		Male
HT29	Cell line name	Homo sapiens	Colon	Epithelial-like cells	Colorectal adenocarcinoma	Caucasian	44	Female
LS174T	Cell line name	Homo sapiens	Colon	Epithelial adherent cells	Colorectal carcinoma	Caucasian	58	Female
LIM1863	Cell line name	Homo sapiens	Colon	Organoids, columnar cells with a polarised normal brush border and goblet cells	Colorectal carcinoma	Caucasian	74	Female
LS513	Cell line name	Homo sapiens	Cecum	Epithelial cells	Colorectal adenocarcinoma	Caucasian	63	Male
SW1398	Cell line name	Homo sapiens	Colon	Epithelial adherent cells	Colorectal carcinoma			
SW48	Cell line name	Homo sapiens	Colon	Epithelial cells	Colorectal adenocarcinoma	Caucasian	82	Female
SW480	Cell line name	Homo sapiens	Colon	Epithelial cells	Colorectal adenocarcinoma	Caucasian	50	Male
SW480_AURKA	Cell line constructs\Gene silencing	Homo sapiens	Colon	Epithelial cells	Colorectal adenocarcinoma	Caucasian	50	Male
RKO	Cell line name	Homo sapiens	Colon	Epithelial cells	Colorectal adenocarcinoma	Caucasian	82	Female
PC346c	Cell line name	Homo sapiens	Prostate	Epithelial cells	Prostatic carcinoma: derived from transurethral resection of a primary tumor	Caucasian	68	Male
VCaP	Cell line name	Homo sapiens	Prostate	Epithelial cells	Prostatic carcinoma: derived from metastatic site - vertebral metastasis	Caucasian	59	Male
DLD1	Cell line name	Homo sapiens	Colon	Epithelial cells	Colorectal adenocarcinoma	Caucasian		Male
