trial_name	site_id	subject_id	sample_cd	platform	sample_type	tissue_type	time_point	cat_cd	src_cd
CLUC		CACO2	LFQ.intensity.CACO2_1	PROT_ANNOT	LFQ-1	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		CACO2	LFQ.intensity.CACO2_2	PROT_ANNOT	LFQ-2	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		COLO205	LFQ.intensity.COLO205_1	PROT_ANNOT	LFQ-1	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		COLO205	LFQ.intensity.COLO205_2	PROT_ANNOT	LFQ-2	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		DLD1	LFQ.intensity.DLD1_1	PROT_ANNOT	LFQ-1	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		DLD1	LFQ.intensity.DLD1_2	PROT_ANNOT	LFQ-2	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		HCT116	LFQ.intensity.HCT116_1	PROT_ANNOT	LFQ-1	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		HCT116	LFQ.intensity.HCT116_2	PROT_ANNOT	LFQ-2	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		HT29	LFQ.intensity.HT29_1	PROT_ANNOT	LFQ-1	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		HT29	LFQ.intensity.HT29_2	PROT_ANNOT	LFQ-2	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		RKO	LFQ.intensity.RKO_1	PROT_ANNOT	LFQ-1	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		RKO	LFQ.intensity.RKO_2	PROT_ANNOT	LFQ-2	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		SW1398	LFQ.intensity.SW1398_1	PROT_ANNOT	LFQ-1	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		SW1398	LFQ.intensity.SW1398_2	PROT_ANNOT	LFQ-2	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		SW480	LFQ.intensity.SW480_1	PROT_ANNOT	LFQ-1	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
CLUC		SW480	LFQ.intensity.SW480_2	PROT_ANNOT	LFQ-2	Colon	TPNT	"Molecular profiling+High-throughput molecular profiling+Expression (protein)+LC-MS-MS+Protein level+TIMEPOINT+MZ ratios"	STD
