"id_ref"	"mirna_id"
"1"	"DarkCorner"
"2"	"NA"
"3"	"NC1_00000197"
"4"	"NC1_00000215"
"5"	"NC2_00079215"
"6"	"NC2_00092197"
"7"	"NC2_00106057"
"8"	"NC2_00122731"
"9"	"NegativeControl"
"10"	"SCorner3"
"11"	"dmr_285"
"12"	"dmr_3"
"13"	"dmr_308"
"14"	"dmr_316"
"15"	"dmr_31a"
"16"	"dmr_6"
"17"	"ebv-miR-BART1-3p"
"18"	"ebv-miR-BART1-5p"
"19"	"ebv-miR-BART10"
"20"	"ebv-miR-BART10*"
"21"	"ebv-miR-BART11-3p"
"22"	"ebv-miR-BART11-5p"
"23"	"ebv-miR-BART12"
"24"	"ebv-miR-BART13"
"25"	"ebv-miR-BART13*"
"26"	"ebv-miR-BART14"
"27"	"ebv-miR-BART14*"
"28"	"ebv-miR-BART15"
"29"	"ebv-miR-BART16"
"30"	"ebv-miR-BART17-3p"
