GPL_ID	PROBE_NAME	GENE_SYMBOL	ENTREZ_ID	ORGANISM
GENE-EXPRESSION-1	ERCC_00117.1(POS_A)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00112.1(POS_B)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00002.1(POS_C)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00092.1(POS_D)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00035.1(POS_E)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00034.1(POS_F)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00096.1(NEG_A)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00041.1(NEG_B)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00019.1(NEG_C)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00076.1(NEG_D)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00098.1(NEG_E)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00126.1(NEG_F)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00144.1(NEG_G)			Homo sapiens
GENE-EXPRESSION-1	ERCC_00154.1(NEG_H)			Homo sapiens
GENE-EXPRESSION-1	NM_000014.4	A2M	2	Homo sapiens
GENE-EXPRESSION-1	NM_000927.3	ABCB1	5243	Homo sapiens
GENE-EXPRESSION-1	NM_005157.3	ABL1	25	Homo sapiens
GENE-EXPRESSION-1	NM_000022.2	ADA	100	Homo sapiens
GENE-EXPRESSION-1	NM_014243.2	ADAMTS3	9508	Homo sapiens
GENE-EXPRESSION-1	NM_000675.3	ADORA2A	135	Homo sapiens
GENE-EXPRESSION-1	NM_020661.1	AICDA	57379	Homo sapiens
GENE-EXPRESSION-1	NM_032955.1	AIF1	199	Homo sapiens
GENE-EXPRESSION-1	NM_000383.2	AIRE	326	Homo sapiens
GENE-EXPRESSION-1	NM_181690.1	AKT3	10000	Homo sapiens
GENE-EXPRESSION-1	NM_001627.3	ALCAM	214	Homo sapiens
GENE-EXPRESSION-1	NM_001140.3	ALOX15	246	Homo sapiens
GENE-EXPRESSION-1	NM_000698.2	ALOX5	240	Homo sapiens
GENE-EXPRESSION-1	NM_001633.3	AMBP	259	Homo sapiens
GENE-EXPRESSION-1	NM_153206.2	AMICA1	120425	Homo sapiens
GENE-EXPRESSION-1	NM_006401.2	ANP32B	10541	Homo sapiens
GENE-EXPRESSION-1	NM_000700.1	ANXA1	301	Homo sapiens
GENE-EXPRESSION-1	NM_000041.2	APOE	348	Homo sapiens
GENE-EXPRESSION-1	NM_000484.3	APP	351	Homo sapiens
GENE-EXPRESSION-1	NM_000045.2	ARG1	383	Homo sapiens
GENE-EXPRESSION-1	NM_001172.3	ARG2	384	Homo sapiens
GENE-EXPRESSION-1	NM_005171.2	ATF1	466	Homo sapiens
GENE-EXPRESSION-1	NM_001256090.1	ATF2	1386	Homo sapiens
GENE-EXPRESSION-1	NM_001131028.1	ATG10	83734	Homo sapiens
GENE-EXPRESSION-1	NM_004707.2	ATG12	9140	Homo sapiens
GENE-EXPRESSION-1	NM_198890.2	ATG16L1	55054	Homo sapiens
GENE-EXPRESSION-1	NM_004849.2	ATG5	9474	Homo sapiens
GENE-EXPRESSION-1	NM_001136031.2	ATG7	10533	Homo sapiens
GENE-EXPRESSION-1	NM_000051.3	ATM	472	Homo sapiens
GENE-EXPRESSION-1	NM_021913.2	AXL	558	Homo sapiens
GENE-EXPRESSION-1	NM_001187.1	BAGE	574	Homo sapiens
GENE-EXPRESSION-1	NM_006399.3	BATF	10538	Homo sapiens
GENE-EXPRESSION-1	NM_138761.3	BAX	581	Homo sapiens
GENE-EXPRESSION-1	NM_003921.2	BCL10	8915	Homo sapiens
GENE-EXPRESSION-1	NM_000657.2	BCL2	596	Homo sapiens
GENE-EXPRESSION-1	NM_001191.2	BCL2L1	598	Homo sapiens
GENE-EXPRESSION-1	NM_001706.2	BCL6	604	Homo sapiens
GENE-EXPRESSION-1	NM_001196.2	BID	637	Homo sapiens
GENE-EXPRESSION-1	NM_182962.2	BIRC3	330	Homo sapiens
GENE-EXPRESSION-1	NM_001168.2	BIRC5	332	Homo sapiens
GENE-EXPRESSION-1	NM_001715.2	BLK	640	Homo sapiens
GENE-EXPRESSION-1	NM_013314.2	BLNK	29760	Homo sapiens
GENE-EXPRESSION-1	NM_005180.5	BMI1	648	Homo sapiens
GENE-EXPRESSION-1	NM_004334.2	BST1	683	Homo sapiens
GENE-EXPRESSION-1	NM_004335.2	BST2	684	Homo sapiens
GENE-EXPRESSION-1	NM_000061.1	BTK	695	Homo sapiens
GENE-EXPRESSION-1	NM_181780.2	BTLA	151888	Homo sapiens
GENE-EXPRESSION-1	NM_015991.2	C1QA	712	Homo sapiens
GENE-EXPRESSION-1	NM_000491.3	C1QB	713	Homo sapiens
GENE-EXPRESSION-1	NM_001212.3	C1QBP	708	Homo sapiens
GENE-EXPRESSION-1	NM_001733.4	C1R	715	Homo sapiens
GENE-EXPRESSION-1	NM_001734.2	C1S	716	Homo sapiens
GENE-EXPRESSION-1	NM_000063.3	C2	717	Homo sapiens
GENE-EXPRESSION-1	NM_000064.2	C3	718	Homo sapiens
GENE-EXPRESSION-1	NM_004054.2	C3AR1	719	Homo sapiens
GENE-EXPRESSION-1	NM_001002029.3	C4B	721	Homo sapiens
GENE-EXPRESSION-1	NM_000715.3	C4BPA	722	Homo sapiens
GENE-EXPRESSION-1	NM_001735.2	C5	727	Homo sapiens
GENE-EXPRESSION-1	NM_001736.2	C5AR1	728	Homo sapiens
GENE-EXPRESSION-1	NM_000065.2	C6	729	Homo sapiens
GENE-EXPRESSION-1	NM_000587.2	C7	730	Homo sapiens
GENE-EXPRESSION-1	NM_000562.2	C8A	731	Homo sapiens
GENE-EXPRESSION-1	NM_000066.2	C8B	732	Homo sapiens
GENE-EXPRESSION-1	NM_000606.2	C8G	733	Homo sapiens
GENE-EXPRESSION-1	NM_001737.3	C9	735	Homo sapiens
GENE-EXPRESSION-1	NM_004345.3	CAMP	820	Homo sapiens
GENE-EXPRESSION-1	NM_032415.2	CARD11	84433	Homo sapiens
GENE-EXPRESSION-1	NM_052813.4	CARD9	64170	Homo sapiens
GENE-EXPRESSION-1	NM_001223.3	CASP1	834	Homo sapiens
GENE-EXPRESSION-1	NM_032977.3	CASP10	843	Homo sapiens
GENE-EXPRESSION-1	NM_032991.2	CASP3	836	Homo sapiens
GENE-EXPRESSION-1	NM_001228.4	CASP8	841	Homo sapiens
GENE-EXPRESSION-1	NM_002981.1	CCL1	6346	Homo sapiens
GENE-EXPRESSION-1	NM_002986.2	CCL11	6356	Homo sapiens
GENE-EXPRESSION-1	NM_005408.2	CCL13	6357	Homo sapiens
GENE-EXPRESSION-1	NM_032963.3	CCL14	6358	Homo sapiens
GENE-EXPRESSION-1	NM_032965.3	CCL15	6359	Homo sapiens
GENE-EXPRESSION-1	NM_004590.2	CCL16	6360	Homo sapiens
GENE-EXPRESSION-1	NM_002987.2	CCL17	6361	Homo sapiens
GENE-EXPRESSION-1	NM_002988.2	CCL18	6362	Homo sapiens
GENE-EXPRESSION-1	NM_006274.2	CCL19	6363	Homo sapiens
GENE-EXPRESSION-1	NM_002982.3	CCL2	6347	Homo sapiens
GENE-EXPRESSION-1	NM_004591.1	CCL20	6364	Homo sapiens
GENE-EXPRESSION-1	NM_002989.2	CCL21	6366	Homo sapiens
GENE-EXPRESSION-1	NM_002990.3	CCL22	6367	Homo sapiens
GENE-EXPRESSION-1	NM_145898.1	CCL23	6368	Homo sapiens
GENE-EXPRESSION-1	NM_002991.2	CCL24	6369	Homo sapiens
GENE-EXPRESSION-1	NM_005624.2	CCL25	6370	Homo sapiens
GENE-EXPRESSION-1	NM_006072.4	CCL26	10344	Homo sapiens
GENE-EXPRESSION-1	NM_006664.2	CCL27	10850	Homo sapiens
GENE-EXPRESSION-1	NM_148672.2	CCL28	56477	Homo sapiens
GENE-EXPRESSION-1	NM_002983.2	CCL3	6348	Homo sapiens
GENE-EXPRESSION-1	NM_021006.4	CCL3L1	6349	Homo sapiens
GENE-EXPRESSION-1	NM_002984.2	CCL4	6351	Homo sapiens
GENE-EXPRESSION-1	NM_002985.2	CCL5	6352	Homo sapiens
GENE-EXPRESSION-1	NM_006273.2	CCL7	6354	Homo sapiens
GENE-EXPRESSION-1	NM_005623.2	CCL8	6355	Homo sapiens
GENE-EXPRESSION-1	NM_001760.2	CCND3	896	Homo sapiens
GENE-EXPRESSION-1	NM_001295.2	CCR1	1230	Homo sapiens
GENE-EXPRESSION-1	NM_001123041.2	CCR2	729230	Homo sapiens
GENE-EXPRESSION-1	NM_001837.2	CCR3	1232	Homo sapiens
GENE-EXPRESSION-1	NM_005508.4	CCR4	1233	Homo sapiens
GENE-EXPRESSION-1	NM_000579.1	CCR5	1234	Homo sapiens
GENE-EXPRESSION-1	NM_031409.2	CCR6	1235	Homo sapiens
GENE-EXPRESSION-1	NM_001838.2	CCR7	1236	Homo sapiens
GENE-EXPRESSION-1	NM_031200.1	CCR9	10803	Homo sapiens
GENE-EXPRESSION-1	NM_003965.4	CCRL2	9034	Homo sapiens
GENE-EXPRESSION-1	NM_000591.2	CD14	929	Homo sapiens
GENE-EXPRESSION-1	NM_007053.2	CD160	11126	Homo sapiens
GENE-EXPRESSION-1	NM_004244.4	CD163	9332	Homo sapiens
