filename	category_cd	col_nbr	data_label
Melanoma_Uveal_Gangemi_GSE27831.txt	STUDY_ID	1	OMIT
Melanoma_Uveal_Gangemi_GSE27831.txt		2	SUBJ_ID
Melanoma_Uveal_Gangemi_GSE27831.txt	SAMPLE_ID	3	
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Medical_History	4	Disease
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Demographics	5	Sex
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Demographics	6	Age
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Medical_History+Tumor_Characteristics	7	"Tumor Thickness, mm"
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Medical_History+Tumor_Characteristics	8	"Tumor Largest Diameter, mm"
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Medical_History+Tumor_Characteristics	9	Tumor Location
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Medical_History+Histopathology	10	Cell Type
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Medical_History+Cancer_Characteristics	11	Sclera Involvement
Melanoma_Uveal_Gangemi_GSE27831.txt	Clinical_Data+Clinical_Endpoints	12	Metastasis
Melanoma_Uveal_Gangemi_GSE27831.txt	Clinical_Data+Clinical_Endpoints	13	"Disease Free Survival, days"
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Medical_History+Genetic_Characteristics	14	Chromosome 3
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Medical_History+Genetic_Characteristics	15	Chromosome 8
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Medical_History	16	Previous Treatment
Melanoma_Uveal_Gangemi_GSE27831.txt	Subjects+Medical_History+Cancer_Characteristics	17	Mda-9/Syntenin Expression Level
