ID_REF	GSM210005	GSM210006	GSM210007	GSM210008	GSM210009	GSM210010	GSM210011	GSM210012
1007_s_at	0	179.15	367.436	271.773	411.581	276.953	357.475	200.172
1053_at	0	35.5867	60.1003	50.2729	62.2023	59.9414	61.8957	23.6274
117_at	0	33.9371	31.3962	34.251	59.2324	44.491	111.313	14.8298
121_at	0	105.912	140.325	166.999	138.719	135.146	173.719	108.982
1255_g_at	0	1.15958	5.08933	8.87646	9.96337	4.85703	8.66078	6.59249
1294_at	0	89.8862	141.818	129.826	120.925	130.986	118.906	103.14
1316_at	0	24.5401	28.8513	36.9326	26.9948	44.1729	25.4747	21.4948
1320_at	0	14.0831	34.6632	36.9082	40.6847	32.2019	21.997	2.52945
1405_i_at	0	166.995	102.465	118.375	159.245	192.129	96.2754	83.2345
1431_at	0	10.904	13.0826	19.9761	10.4327	19.3969	11.7579	8.92677
1438_at	0	11.0699	18.7149	13.1499	15.6868	20.699	3.23206	14.9764
1487_at	0	83.2743	103.816	109.766	85.1972	121.727	106.657	61.944
1494_f_at	0	28.3321	43.292	37.6923	30.3943	29.2783	46.3393	27.3782
1552256_a_at	0	71.365	63.2331	95.2504	77.8674	58.0288	78.4206	52.5538
1552257_a_at	0	65.2434	84.9232	101.202	84.3462	112.697	98.7877	55.126
AFFX-HUMISGF3A/M97935_3_at	0	455.19	498.504	436.746	488.601	672.864	436.603	249.546
AFFX-HUMISGF3A/M97935_5_at	0	47.1175	62.9647	47.6215	48.661	39.5321	53.8419	18.5537
AFFX-HUMISGF3A/M97935_MA_at	-1	105.077	145.135	125.584	95.2034	123.844	96.057	29.8917
AFFX-HUMISGF3A/M97935_MB_at	�	110.477	142.891	109.524	113.81	143.565	111.899	39.328
