ID_REF	GSM210005	GSM210006	GSM210005.zscore	GSM210006.zscore
1007_s_at	0	179.15	0.1	0.2
1053_at	0	35.5867	0.15	0.23
117_at	0	33.9371	0.3	0.17
121_at	0	105.912	0.472	0.34
1255_g_at	0	1.15958	0.5	0.76
1294_at	0	89.8862	0.33	0.52
1316_at	0	24.5401	0.5324	0.6545
1320_at	0	14.0831	0.45	0.465
1405_i_at	0	166.995	0.76	0.567
1431_at	0	10.904	0.234	0.564
1438_at	0	11.0699	0.324	0.45
1487_at	0	83.2743	0.45	0.575
1494_f_at	0	28.3321	0.453	0.635
1552256_a_at	0	71.365	0.26	0.667
1552257_a_at	0	65.2434	0.461	0.527
AFFX-HUMISGF3A/M97935_3_at	0	455.19	0.761	0.565
AFFX-HUMISGF3A/M97935_5_at	0	47.1175	0.56	0.167
AFFX-HUMISGF3A/M97935_MA_at	-1	105.077	0.73	0.547
AFFX-HUMISGF3A/M97935_MB_at	�	110.477	0.16	0.367
