Filename	Category_Code	Column_Number	Data_Label	Data_Label_Source	Control_Vocab_Cd
Cell-line_NHTMP.txt	Subjects	1	SUBJ_ID		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_KRAS	2	General_call		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_KRAS+Non-synonymous_mutations	3	G12D		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_KRAS+Non-synonymous_mutations	4	G12V		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_KRAS+Non-synonymous_mutations	5	G13D		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_BRAF	6	General_call		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_BRAF+Non-synonymous_mutations	7	V600E		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_EGFR	8	General_call		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_EGFR+Non-synonymous_mutations	9	R836R		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_EGFR+Non-synonymous_mutations	10	G719S		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_PIK3CA	11	General_call		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_PIK3CA+Non-synonymous_mutations	12	H1047R		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_PIK3CA+Non-synonymous_mutations	13	E545K		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_small_nucleotide_variants+HRM_Sanger_seq:_PIK3CA+Non-synonymous_mutations	14	D549N		
Cell-line_NHTMP.txt	1._Cell_line_characteristics+2._Tumor+DNA_microsatellite_instability	15	PCR_xx_Promega_test_xx		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_methylation	16	qMSP:_DCR1		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_methylation	17	qMSP:_PHACTR3		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_methylation	18	qMSP:_WRN		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_somatic_copy_number_alterations+MLPA_gain_P146	19	8q		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_somatic_copy_number_alterations+MLPA_gain_P146	20	13q		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_somatic_copy_number_alterations+MLPA_gain_P146	21	20q		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_somatic_copy_number_alterations+MLPA_loss_X-006	22	8p		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_somatic_copy_number_alterations+MLPA_loss_X-006	23	9p		
Cell-line_NHTMP.txt	4._Molecular_profiling+DNA_somatic_copy_number_alterations+MLPA_loss_X-006	24	18q		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_AURKA+HCT116	25	MLH1_0-2_px_and_22		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_AURKA+HCT116	26	MLH1_0-2_and_AURKA_px_and_20		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_AURKA+HCT116	27	MLH1_0-2_and_AURKA_px_and_22		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_AURKA+HCT116	28	MLH1_1-2_px_and_22		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_AURKA+HCT116	29	MLH1_1-2_and_AURKA_px_and_20		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_AURKA+HCT116	30	MLH1_1-2_and_AURKA_px_and_22		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	31	pCMV6-GFP_p130		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	32	pCMV6-GFP_p131		
